Gene	Protein	Locus	GeneName
NC_001133.9	NP_009382.2	YAL020C	ATS1
NC_001133.9	NP_009383.1	YAL019W	FUN30
NC_001133.9	NP_009384.1	YAL018C	LDS1
NC_001133.9	NP_009385.2	YAL017W	PSK1
NC_001133.9	NP_009386.1	YAL016W	TPD3
NC_001133.9	NP_009387.1	YAL015C	NTG1
NC_001133.9	NP_009388.2	YAL014C	SYN8
NC_001133.9	NP_009389.3	YAL013W	DEP1
NC_001133.9	NP_009390.1	YAL012W	CYS3
NC_001133.9	NP_009391.2	YAL011W	SWC3
NC_001133.9	NP_009392.2	YAL010C	MDM10
NC_001133.9	NP_009393.1	YAL009W	SPO7
NC_001133.9	NP_009394.1	YAL008W	FUN14
NC_001133.9	NP_009395.1	YAL007C	ERP2
NC_001133.9	NP_009396.2	YAL005C	SSA1
NC_001133.9	NP_009398.1	YAL003W	EFB1
NC_001133.9	NP_009399.2	YAL002W	VPS8
NC_001133.9	NP_009400.1	YAL001C	TFC3
NC_001133.9	NP_009401.1	YAR002W	NUP60
NC_001133.9	NP_009402.1	YAR002C-A	ERP1
NC_001133.9	NP_009403.1	YAR003W	SWD1
NC_001133.9	NP_009404.1	YAR007C	RFA1
NC_001133.9	NP_009405.1	YAR008W	SEN34
NC_001133.9	NP_009406.1	YAR009C	NP_009406.1
NC_001133.9	NP_009407.1	YAR010C	NP_009407.1
NC_001133.9	NP_009408.3	YAR014C	BUD14
NC_001133.9	NP_009409.1	YAR015W	ADE1
NC_001133.9	NP_009410.1	YAR018C	KIN3
NC_001133.9	NP_009411.2	YAR019C	CDC15
NC_001133.9	NP_009412.1	YAR020C	PAU7
NC_001133.9	NP_009413.2	YAR023C	NP_009413.2
NC_001133.9	NP_009414.1	YAR027W	UIP3
NC_001133.9	NP_009415.1	YAR028W	NP_009415.1
NC_001133.9	NP_009416.1	YAR029W	NP_009416.1
NC_001133.9	NP_009418.1	YAR031W	PRM9
NC_001133.9	NP_009419.1	YAR033W	MST28
NC_001133.9	NP_009420.1	YAR035W	YAT1
NC_001133.9	NP_878042.1	YAR035C-A	NP_878042.1
NC_001133.9	NP_009421.3	YAR042W	SWH1
NC_001133.9	NP_009424.1	YAR050W	FLO1
NC_001133.9	NP_009429.1	YAR064W	NP_009429.1
NC_001133.9	NP_009430.1	YAR066W	NP_009430.1
NC_001133.9	NP_009431.1	YAR068W	NP_009431.1
NC_001133.9	NP_009434.1	YAR071W	PHO11
NC_001134.8	NP_009437.1	YBL113C	NP_009437.1
NC_001134.8	NP_009438.1	YBL112C	NP_009438.1
NC_001134.8	NP_009439.1	YBL111C	NP_009439.1
NC_001134.8	NP_076873.1	YBL108C-A	PAU9
NC_001134.8	NP_009443.1	YBL107C	MIX23
NC_001134.8	NP_009444.2	YBL106C	SRO77
NC_001134.8	NP_009445.2	YBL105C	PKC1
NC_001134.8	NP_009446.2	YBL104C	SEA4
NC_001134.8	NP_009447.1	YBL103C	RTG3
NC_001134.8	NP_009448.1	YBL102W	SFT2
NC_001134.8	NP_009449.1	YBL101C	ECM21
NC_001134.8	NP_878043.1	YBL100W-C	NP_878043.1
NC_001134.8	NP_009450.1	YBL100W-B	NP_009450.1
NC_001134.8	NP_009451.1	YBL100W-A	NP_009451.1
NC_001134.8	NP_009453.2	YBL099W	ATP1
NC_001134.8	NP_009454.1	YBL098W	BNA4
NC_001134.8	NP_009455.3	YBL097W	BRN1
NC_001134.8	NP_009457.1	YBL095W	MRX3
NC_001134.8	NP_009459.1	YBL093C	ROX3
NC_001134.8	NP_009460.1	YBL092W	RPL32
NC_001134.8	NP_009461.2	YBL091C-A	SCS22
NC_001134.8	NP_009462.2	YBL091C	MAP2
NC_001134.8	NP_009463.1	YBL090W	MRP21
NC_001134.8	NP_009464.2	YBL089W	AVT5
NC_001134.8	NP_009465.2	YBL088C	TEL1
NC_001134.8	NP_009466.1	YBL087C	RPL23A
NC_001134.8	NP_009467.1	YBL086C	NP_009467.1
NC_001134.8	NP_009468.1	YBL085W	BOI1
NC_001134.8	NP_009469.2	YBL084C	CDC27
NC_001134.8	NP_009471.1	YBL082C	ALG3
NC_001134.8	NP_009472.1	YBL081W	NP_009472.1
NC_001134.8	NP_009473.2	YBL080C	PET112
NC_001134.8	NP_009474.1	YBL079W	NUP170
NC_001134.8	NP_009475.1	YBL078C	ATG8
NC_001134.8	NP_009477.1	YBL076C	ILS1
NC_001134.8	NP_009478.1	YBL075C	SSA3
NC_001134.8	NP_009479.1	YBL074C	AAR2
NC_001134.8	NP_009481.1	YBL072C	RPS8A
NC_001134.8	NP_878044.1	YBL071C-B	NP_878044.1
NC_001134.8	NP_660100.1	YBL071W-A	KTI11
NC_001134.8	NP_001333723.1	YBL071C	NP_001333723.1
NC_001134.8	NP_009484.2	YBL069W	AST1
NC_001134.8	NP_009485.3	YBL068W	PRS4
NC_001134.8	NP_009486.3	YBL067C	UBP13
NC_001134.8	NP_009487.2	YBL066C	SEF1
NC_001134.8	NP_009489.1	YBL064C	PRX1
NC_001134.8	NP_009490.1	YBL063W	KIP1
NC_001134.8	NP_009492.1	YBL061C	SKT5
NC_001134.8	NP_009493.1	YBL060W	YEL1
NC_001134.8	NP_031358.1	YBL059C-A	CMC2
NC_001134.8	NP_009494.1	YBL059W	NP_009494.1
NC_001134.8	NP_009495.1	YBL058W	SHP1
NC_001134.8	NP_009496.2	YBL057C	PTH2
NC_001134.8	NP_009497.2	YBL056W	PTC3
NC_001134.8	NP_009498.1	YBL055C	NP_009498.1
NC_001134.8	NP_009499.1	YBL054W	TOD6
NC_001134.8	NP_009501.1	YBL052C	SAS3
NC_001134.8	NP_009502.1	YBL051C	PIN4
NC_001134.8	NP_009503.1	YBL050W	SEC17
NC_001134.8	NP_009504.1	YBL049W	MOH1
NC_001134.8	NP_001335744.1	YBL048W	RRT1
NC_001134.8	NP_009506.1	YBL047C	EDE1
NC_001134.8	NP_009507.1	YBL046W	PSY4
NC_001134.8	NP_009508.1	YBL045C	COR1
NC_001134.8	NP_009509.1	YBL044W	NP_009509.1
NC_001134.8	NP_009510.1	YBL043W	ECM13
NC_001134.8	NP_009511.1	YBL042C	FUI1
NC_001134.8	NP_009512.1	YBL041W	PRE7
NC_001134.8	NP_009513.1	YBL040C	ERD2
NC_001134.8	NP_878045.1	YBL039W-B	NP_878045.1
NC_001134.8	NP_009514.1	YBL039C	URA7
NC_001134.8	NP_009515.1	YBL038W	MRPL16
NC_001134.8	NP_009516.1	YBL037W	APL3
NC_001134.8	NP_009517.1	YBL036C	NP_009517.1
NC_001134.8	NP_009518.1	YBL035C	POL12
NC_001134.8	NP_009519.1	YBL034C	STU1
NC_001134.8	NP_009520.1	YBL033C	RIB1
NC_001134.8	NP_009521.1	YBL032W	HEK2
NC_001134.8	NP_009522.1	YBL031W	SHE1
NC_001134.8	NP_009523.1	YBL030C	PET9
NC_001134.8	NP_076874.1	YBL029C-A	NP_076874.1
NC_001134.8	NP_009524.1	YBL029W	NP_009524.1
NC_001134.8	NP_009525.1	YBL028C	NP_009525.1
NC_001134.8	NP_009526.1	YBL027W	RPL19B
NC_001134.8	NP_009527.1	YBL026W	LSM2
NC_001134.8	NP_009528.1	YBL025W	RRN10
NC_001134.8	NP_009529.1	YBL024W	NCL1
NC_001134.8	NP_009530.1	YBL023C	MCM2
NC_001134.8	NP_009531.1	YBL022C	PIM1
NC_001134.8	NP_009532.1	YBL021C	HAP3
NC_001134.8	NP_009533.1	YBL020W	RFT1
NC_001134.8	NP_009534.1	YBL019W	APN2
NC_001134.8	NP_009535.1	YBL018C	POP8
NC_001134.8	NP_009536.1	YBL017C	PEP1
NC_001134.8	NP_009537.1	YBL016W	FUS3
NC_001134.8	NP_009538.1	YBL015W	ACH1
NC_001134.8	NP_009539.2	YBL014C	RRN6
NC_001134.8	NP_009540.2	YBL013W	FMT1
NC_001134.8	NP_009542.1	YBL011W	SCT1
NC_001134.8	NP_009543.1	YBL010C	NP_009543.1
NC_001134.8	NP_009544.1	YBL009W	ALK2
NC_001134.8	NP_878046.1	YBL008W-A	NP_878046.1
NC_001134.8	NP_009545.2	YBL008W	HIR1
NC_001134.8	NP_009546.1	YBL007C	SLA1
NC_001134.8	NP_009547.2	YBL006C	LDB7
NC_001134.8	NP_009548.1	YBL005W	PDR3
NC_001134.8	NP_009549.1	YBL005W-B	NP_009549.1
NC_001134.8	NP_009550.1	YBL005W-A	NP_009550.1
NC_001134.8	NP_009551.2	YBL004W	UTP20
NC_001134.8	NP_009552.1	YBL003C	HTA2
NC_001134.8	NP_009553.1	YBL002W	HTB2
NC_001134.8	NP_009554.1	YBL001C	ECM15
NC_001134.8	NP_009555.1	YBR001C	NTH2
NC_001134.8	NP_009556.1	YBR002C	RER2
NC_001134.8	NP_009557.1	YBR003W	COQ1
NC_001134.8	NP_009558.2	YBR004C	GPI18
NC_001134.8	NP_009559.1	YBR005W	RCR1
NC_001134.8	NP_009560.1	YBR006W	UGA2
NC_001134.8	NP_009561.2	YBR007C	DSF2
NC_001134.8	NP_009562.1	YBR008C	FLR1
NC_001134.8	NP_009563.1	YBR009C	HHF1
NC_001134.8	NP_009564.1	YBR010W	HHT1
NC_001134.8	NP_009565.1	YBR011C	IPP1
NC_001134.8	NP_009567.1	YBR012W-B	NP_009567.1
NC_001134.8	NP_009568.1	YBR012W-A	NP_009568.1
NC_001134.8	NP_009569.1	YBR013C	NP_009569.1
NC_001134.8	NP_009570.1	YBR014C	GRX7
NC_001134.8	NP_009571.1	YBR015C	MNN2
NC_001134.8	NP_009572.1	YBR016W	NP_009572.1
NC_001134.8	NP_009573.1	YBR017C	KAP104
NC_001134.8	NP_009574.1	YBR018C	GAL7
NC_001134.8	NP_009575.1	YBR019C	GAL10
NC_001134.8	NP_009576.1	YBR020W	GAL1
NC_001134.8	NP_009577.1	YBR021W	FUR4
NC_001134.8	NP_009578.1	YBR022W	POA1
NC_001134.8	NP_009579.1	YBR023C	CHS3
NC_001134.8	NP_009580.1	YBR024W	SCO2
NC_001134.8	NP_009581.1	YBR025C	OLA1
NC_001134.8	NP_009582.1	YBR026C	ETR1
NC_001134.8	NP_001333724.1	YBR027C	NP_001333724.1
NC_001134.8	NP_009584.1	YBR028C	YPK3
NC_001134.8	NP_009585.1	YBR029C	CDS1
NC_001134.8	NP_009586.1	YBR030W	RKM3
NC_001134.8	NP_009587.1	YBR031W	RPL4A
NC_001134.8	NP_001333725.1	YBR032W	NP_001333725.1
NC_001134.8	NP_009589.1	YBR033W	EDS1
NC_001134.8	NP_009590.1	YBR034C	HMT1
NC_001134.8	NP_009591.1	YBR035C	PDX3
NC_001134.8	NP_009592.1	YBR036C	CSG2
NC_001134.8	NP_009593.1	YBR037C	SCO1
NC_001134.8	NP_009594.1	YBR038W	CHS2
NC_001134.8	NP_009595.1	YBR039W	ATP3
NC_001134.8	NP_009596.1	YBR040W	FIG1
NC_001134.8	NP_009597.2	YBR041W	FAT1
NC_001134.8	NP_009598.1	YBR042C	CST26
NC_001134.8	NP_009599.2	YBR043C	QDR3
NC_001134.8	NP_009600.2	YBR044C	TCM62
NC_001134.8	NP_009601.2	YBR045C	GIP1
NC_001134.8	NP_009602.1	YBR046C	ZTA1
NC_001134.8	NP_009603.1	YBR047W	FMP23
NC_001134.8	NP_009604.1	YBR048W	RPS11B
NC_001134.8	NP_009605.1	YBR049C	REB1
NC_001134.8	NP_009606.1	YBR050C	REG2
NC_001134.8	NP_009608.1	YBR052C	RFS1
NC_001134.8	NP_009609.1	YBR053C	NP_009609.1
NC_001134.8	NP_009610.1	YBR054W	YRO2
NC_001134.8	NP_009611.1	YBR055C	PRP6
NC_001134.8	NP_009612.1	YBR056W	NP_009612.1
NC_001134.8	NP_001257668.1	YBR056W-A	NP_001257668.1
NC_001134.8	NP_009613.1	YBR057C	MUM2
NC_001134.8	NP_009614.2	YBR058C	UBP14
NC_001134.8	NP_116327.3	YBR058C-A	TSC3
NC_001134.8	NP_009615.1	YBR059C	AKL1
NC_001134.8	NP_009616.1	YBR060C	ORC2
NC_001134.8	NP_009617.3	YBR061C	TRM7
NC_001134.8	NP_009618.2	YBR062C	NP_009618.2
NC_001134.8	NP_009619.1	YBR063C	NP_009619.1
NC_001134.8	NP_009621.3	YBR065C	ECM2
NC_001134.8	NP_009622.1	YBR066C	NRG2
NC_001134.8	NP_009623.1	YBR067C	TIP1
NC_001134.8	NP_009624.4	YBR068C	BAP2
NC_001134.8	NP_009625.1	YBR069C	TAT1
NC_001134.8	NP_009626.1	YBR070C	ALG14
NC_001134.8	NP_009627.3	YBR071W	NP_009627.3
NC_001134.8	NP_009628.1	YBR072W	HSP26
NC_001134.8	NP_878048.1	YBR072C-A	NP_878048.1
NC_001134.8	NP_009629.6	YBR073W	RDH54
NC_001134.8	NP_009630.3	YBR074W	PFF1
NC_001134.8	NP_009632.2	YBR076W	ECM8
NC_001134.8	NP_009633.3	YBR077C	SLM4
NC_001134.8	NP_009634.2	YBR078W	ECM33
NC_001134.8	NP_009635.1	YBR079C	RPG1
NC_001134.8	NP_009636.3	YBR080C	SEC18
NC_001134.8	NP_009637.1	YBR081C	SPT7
NC_001134.8	NP_009638.1	YBR082C	UBC4
NC_001134.8	NP_009639.3	YBR083W	TEC1
NC_001134.8	NP_009640.1	YBR084W	MIS1
NC_001134.8	NP_009641.1	YBR084C-A	RPL19A
NC_001134.8	NP_009642.3	YBR085W	AAC3
NC_001134.8	NP_061491.1	YBR085C-A	NP_061491.1
NC_001134.8	NP_009643.2	YBR086C	IST2
NC_001134.8	NP_009644.3	YBR087W	RFC5
NC_001134.8	NP_009645.1	YBR088C	POL30
NC_001134.8	NP_009647.2	YBR089C-A	NHP6B
NC_001134.8	NP_009648.4	YBR090C	NP_009648.4
NC_001134.8	NP_009649.1	YBR091C	TIM12
NC_001134.8	NP_009650.1	YBR092C	PHO3
NC_001134.8	NP_009651.3	YBR093C	PHO5
NC_001134.8	NP_009652.2	YBR094W	PBY1
NC_001134.8	NP_009653.2	YBR095C	RXT2
NC_001134.8	NP_009654.3	YBR096W	NP_009654.3
NC_001134.8	NP_009655.2	YBR097W	VPS15
NC_001134.8	NP_009656.2	YBR098W	MMS4
NC_001134.8	NP_009659.3	YBR101C	FES1
NC_001134.8	NP_009660.1	YBR102C	EXO84
NC_001134.8	NP_009661.1	YBR103W	SIF2
NC_001134.8	NP_009662.3	YBR104W	YMC2
NC_001134.8	NP_009663.1	YBR105C	VID24
NC_001134.8	NP_009664.1	YBR106W	PHO88
NC_001134.8	NP_009665.3	YBR107C	IML3
NC_001134.8	NP_009666.3	YBR108W	AIM3
NC_001134.8	NP_009667.1	YBR109C	CMD1
NC_001134.8	NP_009668.3	YBR110W	ALG1
NC_001134.8	NP_009669.1	YBR111C	YSA1
NC_001134.8	NP_878049.2	YBR111W-A	SUS1
NC_001134.8	NP_009670.3	YBR112C	CYC8
NC_001134.8	NP_009672.1	YBR114W	RAD16
NC_001134.8	NP_009673.1	YBR115C	LYS2
NC_001134.8	NP_009675.3	YBR117C	TKL2
NC_001134.8	NP_009676.1	YBR118W	TEF2
NC_001134.8	NP_009677.1	YBR119W	MUD1
NC_001134.8	NP_009678.3	YBR120C	CBP6
NC_001134.8	NP_009679.2	YBR121C	GRS1
NC_001134.8	NP_009680.2	YBR122C	MRPL36
NC_001134.8	NP_009681.3	YBR123C	TFC1
NC_001134.8	NP_009683.1	YBR125C	PTC4
NC_001134.8	NP_009684.1	YBR126C	TPS1
NC_001134.8	NP_001257669.1	YBR126W-A	MEO1
NC_001134.8	NP_009685.3	YBR127C	VMA2
NC_001134.8	NP_009686.1	YBR128C	ATG14
NC_001134.8	NP_009687.1	YBR129C	OPY1
NC_001134.8	NP_009688.3	YBR130C	SHE3
NC_001134.8	NP_009689.3	YBR131W	CCZ1
NC_001134.8	NP_009690.1	YBR132C	AGP2
NC_001134.8	NP_009691.1	YBR133C	HSL7
NC_001134.8	NP_009693.3	YBR135W	CKS1
NC_001134.8	NP_009694.3	YBR136W	MEC1
NC_001134.8	NP_009695.2	YBR137W	NP_009695.2
NC_001134.8	NP_009696.2	YBR138C	NP_009696.2
NC_001134.8	NP_009697.3	YBR139W	NP_009697.3
NC_001134.8	NP_009698.3	YBR140C	IRA1
NC_001134.8	NP_009699.2	YBR141C	BMT2
NC_001134.8	NP_009700.1	YBR142W	MAK5
NC_001134.8	NP_009701.3	YBR143C	SUP45
NC_001134.8	NP_001335745.1	YBR144C	NP_001335745.1
NC_001134.8	NP_009703.3	YBR145W	ADH5
NC_001134.8	NP_009704.1	YBR146W	MRPS9
NC_001134.8	NP_009705.1	YBR147W	RTC2
NC_001134.8	NP_009706.3	YBR148W	YSW1
NC_001134.8	NP_009707.3	YBR149W	ARA1
NC_001134.8	NP_009708.1	YBR150C	TBS1
NC_001134.8	NP_009709.1	YBR151W	APD1
NC_001134.8	NP_009710.3	YBR152W	SPP381
NC_001134.8	NP_009711.3	YBR153W	RIB7
NC_001134.8	NP_009712.1	YBR154C	RPB5
NC_001134.8	NP_009713.1	YBR155W	CNS1
NC_001134.8	NP_009714.3	YBR156C	SLI15
NC_001134.8	NP_009715.4	YBR157C	ICS2
NC_001134.8	NP_009716.1	YBR158W	AMN1
NC_001134.8	NP_009717.1	YBR159W	IFA38
NC_001134.8	NP_009718.3	YBR160W	CDC28
NC_001134.8	NP_009719.3	YBR161W	CSH1
NC_001134.8	NP_009720.1	YBR162C	TOS1
NC_001134.8	NP_009721.1	YBR162W-A	YSY6
NC_001134.8	NP_009722.3	YBR163W	EXO5
NC_001134.8	NP_009723.3	YBR164C	ARL1
NC_001134.8	NP_009724.1	YBR165W	UBS1
NC_001134.8	NP_009725.1	YBR166C	TYR1
NC_001134.8	NP_009726.3	YBR167C	POP7
NC_001134.8	NP_009727.3	YBR168W	PEX32
NC_001134.8	NP_009728.1	YBR169C	SSE2
NC_001134.8	NP_009729.1	YBR170C	NPL4
NC_001134.8	NP_009730.3	YBR171W	SEC66
NC_001134.8	NP_009731.4	YBR172C	SMY2
NC_001134.8	NP_009732.1	YBR173C	UMP1
NC_001134.8	NP_009734.1	YBR175W	SWD3
NC_001134.8	NP_009735.3	YBR176W	ECM31
NC_001134.8	NP_009736.3	YBR177C	EHT1
NC_001134.8	NP_009738.1	YBR179C	FZO1
NC_001134.8	NP_009739.1	YBR180W	DTR1
NC_001134.8	NP_009740.3	YBR181C	RPS6B
NC_001134.8	NP_009741.3	YBR182C	SMP1
NC_001134.8	NP_878050.1	YBR182C-A	NP_878050.1
NC_001134.8	NP_009742.1	YBR183W	YPC1
NC_001134.8	NP_009743.3	YBR184W	NP_009743.3
NC_001134.8	NP_009744.3	YBR185C	MBA1
NC_001134.8	NP_009745.2	YBR186W	PCH2
NC_001134.8	NP_009746.1	YBR187W	GDT1
NC_001134.8	NP_009747.3	YBR188C	NTC20
NC_001134.8	NP_009748.3	YBR189W	RPS9B
NC_001134.8	NP_009750.1	YBR191W	RPL21A
NC_001134.8	NP_009751.1	YBR192W	RIM2
NC_001134.8	NP_009752.3	YBR193C	MED8
NC_001134.8	NP_009753.3	YBR194W	AIM4
NC_001134.8	NP_009754.1	YBR195C	MSI1
NC_001134.8	NP_009755.1	YBR196C	PGI1
NC_001134.8	NP_878051.3	YBR196C-A	NP_878051.3
NC_001134.8	NP_878052.3	YBR196C-B	NP_878052.3
NC_001134.8	NP_009756.1	YBR197C	NP_009756.1
NC_001134.8	NP_009757.1	YBR198C	TAF5
NC_001134.8	NP_009758.3	YBR199W	KTR4
NC_001134.8	NP_009759.3	YBR200W	BEM1
NC_001134.8	NP_878053.1	YBR200W-A	NP_878053.1
NC_001134.8	NP_009760.1	YBR201W	DER1
NC_001134.8	NP_001032571.3	YBR201C-A	NP_001032571.3
NC_001134.8	NP_009761.4	YBR202W	MCM7
NC_001134.8	NP_009762.2	YBR203W	COS111
NC_001134.8	NP_009763.2	YBR204C	LDH1
NC_001134.8	NP_009764.3	YBR205W	KTR3
NC_001134.8	NP_009766.4	YBR207W	FTH1
NC_001134.8	NP_009767.1	YBR208C	NP_009767.1
NC_001134.8	NP_001335746.1	YBR209W	NP_001335746.1
NC_001134.8	NP_009769.1	YBR210W	ERV15
NC_001134.8	NP_009770.3	YBR211C	AME1
NC_001134.8	NP_009771.3	YBR212W	NGR1
NC_001134.8	NP_009772.1	YBR213W	MET8
NC_001134.8	NP_009773.1	YBR214W	SDS24
NC_001134.8	NP_009774.4	YBR215W	HPC2
NC_001134.8	NP_009775.3	YBR216C	YBP1
NC_001134.8	NP_009776.1	YBR217W	ATG12
NC_001134.8	NP_009777.1	YBR218C	PYC2
NC_001134.8	NP_009778.3	YBR219C	NP_009778.3
NC_001134.8	NP_009779.3	YBR220C	NP_009779.3
NC_001134.8	NP_009780.1	YBR221C	PDB1
NC_001134.8	NP_878054.1	YBR221W-A	NP_878054.1
NC_001134.8	NP_009781.3	YBR222C	PCS60
NC_001134.8	NP_009782.3	YBR223C	TDP1
NC_001134.8	NP_009784.1	YBR225W	NP_009784.1
NC_001134.8	NP_009786.1	YBR227C	MCX1
NC_001134.8	NP_009787.3	YBR228W	SLX1
NC_001134.8	NP_009788.3	YBR229C	ROT2
NC_001134.8	NP_009789.1	YBR230C	OM14
NC_001134.8	NP_001018029.1	YBR230W-A	NP_001018029.1
NC_001134.8	NP_009790.3	YBR231C	SWC5
NC_001134.8	NP_009792.3	YBR233W	PBP2
NC_001134.8	NP_631876.1	YBR233W-A	DAD3
NC_001134.8	NP_009793.1	YBR234C	ARC40
NC_001134.8	NP_009794.3	YBR235W	VHC1
NC_001134.8	NP_009795.3	YBR236C	ABD1
NC_001134.8	NP_009796.1	YBR237W	PRP5
NC_001134.8	NP_009797.1	YBR238C	NP_009797.1
NC_001134.8	NP_009798.3	YBR239C	ERT1
NC_001134.8	NP_009799.3	YBR240C	THI2
NC_001134.8	NP_009800.1	YBR241C	NP_009800.1
NC_001134.8	NP_009801.1	YBR242W	NP_009801.1
NC_001134.8	NP_009802.3	YBR243C	ALG7
NC_001134.8	NP_009803.3	YBR244W	GPX2
NC_001134.8	NP_009804.1	YBR245C	ISW1
NC_001134.8	NP_009805.1	YBR246W	RRT2
NC_001134.8	NP_009806.3	YBR247C	ENP1
NC_001134.8	NP_009807.3	YBR248C	HIS7
NC_001134.8	NP_009808.1	YBR249C	ARO4
NC_001134.8	NP_009809.1	YBR250W	SPO23
NC_001134.8	NP_009810.3	YBR251W	MRPS5
NC_001134.8	NP_009811.3	YBR252W	DUT1
NC_001134.8	NP_009812.1	YBR253W	SRB6
NC_001134.8	NP_009813.1	YBR254C	TRS20
NC_001134.8	NP_009814.3	YBR255W	MTC4
NC_001134.8	NP_116328.4	YBR255C-A	RCF3
NC_001134.8	NP_009815.1	YBR256C	RIB5
NC_001134.8	NP_009816.1	YBR257W	POP4
NC_001134.8	NP_009817.3	YBR258C	SHG1
NC_001134.8	NP_009818.3	YBR259W	NP_009818.3
NC_001134.8	NP_009819.1	YBR260C	RGD1
NC_001134.8	NP_009820.1	YBR261C	TAE1
NC_001134.8	NP_009821.3	YBR262C	MIC12
NC_001134.8	NP_009822.4	YBR263W	SHM1
NC_001134.8	NP_009823.2	YBR264C	YPT10
NC_001134.8	NP_009824.2	YBR265W	TSC10
NC_001134.8	NP_009825.4	YBR267W	REI1
NC_001134.8	NP_009827.3	YBR268W	MRPL37
NC_001134.8	NP_009828.2	YBR269C	SDH8
NC_001134.8	NP_009829.2	YBR270C	BIT2
NC_001134.8	NP_009830.3	YBR271W	EFM2
NC_001134.8	NP_009831.3	YBR272C	HSM3
NC_001134.8	NP_009832.1	YBR273C	UBX7
NC_001134.8	NP_009833.1	YBR274W	CHK1
NC_001134.8	NP_009834.4	YBR275C	RIF1
NC_001134.8	NP_009835.3	YBR276C	PPS1
NC_001134.8	NP_009837.1	YBR278W	DPB3
NC_001134.8	NP_009838.1	YBR279W	PAF1
NC_001134.8	NP_009839.4	YBR280C	SAF1
NC_001134.8	NP_009840.3	YBR281C	DUG2
NC_001134.8	NP_009841.1	YBR282W	MRPL27
NC_001134.8	NP_009842.1	YBR283C	SSH1
NC_001134.8	NP_009843.3	YBR284W	NP_009843.3
NC_001134.8	NP_009844.4	YBR285W	NP_009844.4
NC_001134.8	NP_009845.2	YBR286W	APE3
NC_001134.8	NP_009846.1	YBR287W	NP_009846.1
NC_001134.8	NP_009847.4	YBR288C	APM3
NC_001134.8	NP_009848.4	YBR289W	SNF5
NC_001134.8	NP_009849.1	YBR290W	BSD2
NC_001134.8	NP_009850.1	YBR291C	CTP1
NC_001134.8	NP_001335747.1	YBR292C	NP_001335747.1
NC_001134.8	NP_009852.3	YBR293W	VBA2
NC_001134.8	NP_009853.3	YBR294W	SUL1
NC_001134.8	NP_009854.2	YBR295W	PCA1
NC_001134.8	NP_009855.1	YBR296C	PHO89
NC_001134.8	NP_878055.3	YBR296C-A	NP_878055.3
NC_001134.8	NP_009856.3	YBR297W	MAL33
