scerevisiae	sbayanus
NP_009965.2	Sbay_3.70
NP_009966.2	Sbay_3.71
NP_009967.2	Sbay_3.72
NP_009971.1	Sbay_3.81
NP_009972.1	Sbay_3.82
NP_009973.1	Sbay_3.83
NP_009974.1	Sbay_3.84
NP_009975.1	Sbay_3.85
NP_009976.1	Sbay_3.86
NP_009978.1	Sbay_3.87
NP_009980.1	Sbay_3.89
NP_009981.1	Sbay_3.90
NP_009982.1	Sbay_3.91
NP_009983.1	Sbay_3.92
NP_009984.1	Sbay_3.93
NP_009985.1	Sbay_3.94
NP_009986.1	Sbay_3.95
NP_009987.2	Sbay_3.96
NP_009990.1	Sbay_3.102
NP_009991.2	Sbay_3.103
NP_009992.1	Sbay_3.104
NP_009993.1	Sbay_3.105
NP_009994.2	Sbay_3.106
NP_009995.1	Sbay_3.107
NP_009996.2	Sbay_3.108
NP_009997.2	Sbay_3.109
NP_009998.2	Sbay_3.110
NP_009999.2	Sbay_3.111
NP_010000.1	Sbay_3.112
NP_010001.1	Sbay_3.114
NP_010002.3	Sbay_3.115
NP_010003.2	Sbay_3.116
NP_010004.1	Sbay_3.117
NP_010005.1	Sbay_3.119
NP_010006.1	Sbay_3.120
NP_010007.1	Sbay_3.121
NP_010009.1	Sbay_3.122
NP_010011.1	Sbay_3.123
NP_010012.1	Sbay_3.124
NP_010013.2	Sbay_3.125
NP_010014.1	Sbay_3.126
NP_010016.2	Sbay_3.130
NP_010017.2	Sbay_3.131
NP_010018.1	Sbay_3.132
NP_010019.1	Sbay_3.133
NP_010020.1	Sbay_3.135
NP_010021.1	Sbay_3.138
NP_010022.1	Sbay_14.4
NP_010031.1	Sbay_15.415
NP_010037.1	Sbay_2.5
NP_010040.1	Sbay_4.3
NP_010041.2	Sbay_4.4
NP_010042.2	Sbay_4.5
NP_010043.1	Sbay_4.6
NP_010044.2	Sbay_4.7
NP_010045.1	Sbay_4.8
NP_010046.1	Sbay_4.9
NP_010047.1	Sbay_4.10
NP_010048.1	Sbay_4.11
NP_010049.1	Sbay_4.12
NP_010050.1	Sbay_4.13
NP_010051.1	Sbay_4.14
NP_010052.1	Sbay_4.15
NP_010054.1	Sbay_4.17
NP_010055.1	Sbay_4.18
NP_010056.1	Sbay_4.19
NP_010057.1	Sbay_4.20
NP_010058.1	Sbay_4.21
NP_010059.1	Sbay_4.22
NP_010061.1	Sbay_4.25
NP_010062.1	Sbay_4.26
NP_010063.1	Sbay_4.27
NP_010064.1	Sbay_4.28
NP_010065.2	Sbay_4.30
NP_010066.1	Sbay_4.32
NP_010067.1	Sbay_4.33
NP_010068.1	Sbay_4.34
NP_010069.1	Sbay_4.35
NP_010070.1	Sbay_4.36
NP_010071.1	Sbay_4.38
NP_010072.1	Sbay_4.39
NP_010073.2	Sbay_4.40
NP_010074.1	Sbay_4.41
NP_010075.1	Sbay_4.42
NP_010076.1	Sbay_4.43
NP_010077.1	Sbay_4.44
NP_010078.1	Sbay_4.45
NP_010079.1	Sbay_4.46
NP_010080.1	Sbay_4.47
NP_010081.2	Sbay_4.48
NP_010082.1	Sbay_4.49
NP_010083.1	Sbay_4.50
NP_010084.1	Sbay_4.51
NP_010086.2	Sbay_4.53
NP_010087.1	Sbay_4.54
NP_010088.1	Sbay_4.55
NP_010089.1	Sbay_4.56
NP_010091.2	Sbay_4.58
NP_010092.2	Sbay_4.59
NP_010093.1	Sbay_4.60
NP_010095.1	Sbay_4.61
NP_010096.1	Sbay_4.63
NP_010098.1	Sbay_4.64
NP_010099.1	Sbay_4.65
NP_010100.1	Sbay_4.66
NP_010101.1	Sbay_4.67
NP_010102.1	Sbay_4.68
NP_010103.1	Sbay_4.69
NP_010104.1	Sbay_4.70
NP_010105.1	Sbay_4.71
NP_010106.1	Sbay_4.72
NP_010107.1	Sbay_4.73
NP_010108.1	Sbay_4.74
NP_010110.1	Sbay_4.75
NP_010111.1	Sbay_4.76
NP_010112.1	Sbay_4.77
NP_010113.1	Sbay_4.78
NP_010114.1	Sbay_4.79
NP_010115.1	Sbay_4.80
NP_010116.1	Sbay_4.81
NP_010117.1	Sbay_4.82
NP_010120.1	Sbay_4.83
NP_010121.1	Sbay_4.86
NP_010122.1	Sbay_4.87
NP_010124.1	Sbay_4.88
NP_010125.1	Sbay_4.89
NP_010126.1	Sbay_4.90
NP_010127.1	Sbay_4.91
NP_010128.1	Sbay_4.93
NP_010131.1	Sbay_4.94
NP_010132.1	Sbay_4.95
NP_010133.1	Sbay_4.96
NP_010134.1	Sbay_4.97
NP_010135.1	Sbay_4.98
NP_010136.1	Sbay_4.99
NP_010137.2	Sbay_4.100
NP_010138.1	Sbay_4.101
NP_010139.1	Sbay_4.102
NP_010140.1	Sbay_4.103
NP_010141.1	Sbay_4.104
NP_010142.2	Sbay_4.105
NP_010143.1	Sbay_4.106
NP_010144.1	Sbay_4.107
NP_010145.1	Sbay_4.108
NP_010146.1	Sbay_4.109
NP_010147.1	Sbay_4.110
NP_010149.1	Sbay_4.111
NP_010150.1	Sbay_4.112
NP_010151.1	Sbay_4.113
NP_010152.1	Sbay_4.114
NP_010153.1	Sbay_4.115
NP_010154.1	Sbay_4.116
NP_010155.1	Sbay_4.117
NP_010156.2	Sbay_4.118
NP_010157.1	Sbay_4.119
NP_010158.1	Sbay_4.120
NP_010159.1	Sbay_4.122
NP_010160.1	Sbay_4.124
NP_010161.1	Sbay_4.125
NP_010162.1	Sbay_4.126
NP_010163.1	Sbay_4.127
NP_010164.1	Sbay_4.128
NP_010166.1	Sbay_4.129
NP_010167.1	Sbay_4.130
NP_010168.4	Sbay_4.131
NP_010169.1	Sbay_4.132
NP_010170.1	Sbay_4.133
NP_010171.1	Sbay_4.134
NP_010172.1	Sbay_4.135
NP_010173.1	Sbay_4.136
NP_010174.1	Sbay_4.137
NP_010175.1	Sbay_4.138
NP_010176.1	Sbay_4.139
NP_010177.1	Sbay_4.140
NP_010178.1	Sbay_4.141
NP_010179.1	Sbay_4.142
NP_010180.1	Sbay_4.143
NP_010181.2	Sbay_4.144
NP_010182.1	Sbay_4.145
NP_010183.1	Sbay_4.146
NP_010184.1	Sbay_4.147
NP_010185.1	Sbay_4.148
NP_010186.1	Sbay_4.149
NP_010188.1	Sbay_4.150
NP_010190.1	Sbay_4.151
NP_010191.1	Sbay_4.152
NP_010192.1	Sbay_4.153
NP_010193.1	Sbay_4.154
NP_010194.1	Sbay_4.155
NP_010195.1	Sbay_4.156
NP_010196.1	Sbay_4.157
NP_010197.1	Sbay_4.158
NP_010199.1	Sbay_4.163
NP_010201.1	Sbay_4.165
NP_010202.1	Sbay_4.166
NP_010203.1	Sbay_4.167
NP_010204.1	Sbay_4.168
NP_010205.1	Sbay_4.170
NP_010206.1	Sbay_4.171
NP_010207.1	Sbay_4.172
NP_010209.1	Sbay_4.175
NP_010210.1	Sbay_4.176
NP_010211.1	Sbay_4.177
NP_010213.1	Sbay_4.179
NP_010214.2	Sbay_4.181
NP_010216.1	Sbay_4.182
NP_010217.1	Sbay_4.184
NP_010218.2	Sbay_4.185
NP_010219.1	Sbay_4.186
NP_010220.1	Sbay_4.187
NP_010222.1	Sbay_4.188
NP_010223.1	Sbay_4.189
NP_010224.1	Sbay_4.190
NP_010225.1	Sbay_4.191
NP_010226.1	Sbay_4.192
NP_010227.1	Sbay_4.193
NP_010228.1	Sbay_4.194
NP_010229.1	Sbay_4.196
NP_010230.1	Sbay_4.197
NP_010231.1	Sbay_4.198
NP_010232.1	Sbay_4.199
NP_010234.1	Sbay_4.200
NP_010235.1	Sbay_4.201
NP_010236.1	Sbay_4.202
NP_010237.1	Sbay_4.203
NP_010238.1	Sbay_4.205
NP_010239.1	Sbay_4.206
NP_010240.1	Sbay_4.207
NP_010241.1	Sbay_4.208
NP_010242.1	Sbay_4.210
NP_010244.1	Sbay_4.211
NP_010248.1	Sbay_4.215
NP_010249.1	Sbay_4.216
NP_010251.1	Sbay_4.217
NP_010253.2	Sbay_4.218
NP_010254.1	Sbay_4.219
NP_010255.1	Sbay_4.220
NP_010256.2	Sbay_4.221
NP_010257.1	Sbay_4.222
NP_010259.1	Sbay_4.223
NP_010260.1	Sbay_4.224
NP_010262.1	Sbay_4.226
NP_010263.1	Sbay_4.227
NP_010264.3	Sbay_4.228
NP_010265.1	Sbay_4.229
NP_010266.1	Sbay_4.231
NP_010267.3	Sbay_4.232
NP_010269.1	Sbay_4.233
NP_010270.1	Sbay_4.234
NP_010271.3	Sbay_4.236
NP_010272.1	Sbay_4.237
NP_010274.1	Sbay_4.238
NP_010276.3	Sbay_4.239
NP_010277.1	Sbay_4.246
NP_010278.3	Sbay_4.247
NP_010279.3	Sbay_4.248
NP_010280.1	Sbay_4.249
